"ocx","Alstom Alarm Viewer Multi Server Control","{4EEBC21D-A1AB-448C-8E48-C97CD5432B03}","S2KALARMVIEWERMULTISERVER.AlarmViewerCtrl.1","TRUE"
"ocx","Microsoft Forms 2.0 CheckBox","{8BD21D40-EC42-11CE-9E0D-00AA006002F3}","Forms.CheckBox.1","TRUE"
"ocx","Microsoft Forms 2.0 ComboBox","{8BD21D30-EC42-11CE-9E0D-00AA006002F3}","Forms.ComboBox.1","TRUE"
"ocx","Microsoft Forms 2.0 CommandButton","{D7053240-CE69-11CD-A777-00DD01143C57}","Forms.CommandButton.1","TRUE"
"ocx","Microsoft Forms 2.0 Frame","{6E182020-F460-11CE-9BCD-00AA00608E01}","Forms.Frame.1","TRUE"
"ocx","Microsoft Forms 2.0 Label","{978C9E23-D4B0-11CE-BF2D-00AA003F40D0}","Forms.Label.1","TRUE"
"ocx","Microsoft Forms 2.0 ListBox","{8BD21D20-EC42-11CE-9E0D-00AA006002F3}","Forms.ListBox.1","TRUE"
"ocx","Microsoft Forms 2.0 MultiPage","{46E31370-3F7A-11CE-BED6-00AA00611080}","Forms.MultiPage.1","TRUE"
"ocx","Microsoft Forms 2.0 OptionButton","{8BD21D50-EC42-11CE-9E0D-00AA006002F3}","Forms.OptionButton.1","TRUE"
"ocx","Microsoft Forms 2.0 ScrollBar","{DFD181E0-5E2F-11CE-A449-00AA004A803D}","Forms.ScrollBar.1","TRUE"
"ocx","Microsoft Forms 2.0 TextBox","{8BD21D10-EC42-11CE-9E0D-00AA006002F3}","Forms.TextBox.1","TRUE"
"ocx","PrintScreen.HardCopy","{A3469053-DD7B-4019-9BF5-8557B843096A}","PrintScreen.HardCopy","TRUE"
"ocx","TabC.GeneralTripPlan.GeneralTripPlan","{326BF981-9178-44EE-8831-F010FCB61A0B}","TabC.GeneralView","TRUE"
"ocx","TabC.GeneralTripPlan.GeneralTripPlanNsop","{AA97B5B9-8DDE-423B-B450-B60AC40D64F3}","TabC.GeneralViewNsop","TRUE"

